                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.67695,                0.63618,                  1.054,                0.87523,                0.40808,                0.44541,                0.25016,                 1.8033,                  2.236,                 1.5581,             6.4694e-05,             6.4694e-05,             6.4694e-05
                     73,                0.95286,                 1.1948,                 1.3376,                0.87523,                0.40808,                0.44541,                0.25016,                 1.8033,                  2.236,                 1.5581,             6.5322e-05,             6.5322e-05,             6.5322e-05
                     74,                0.72196,                0.70158,                 1.0493,                0.87523,                0.40808,                0.44541,                0.25016,                 1.8033,                  2.236,                 1.5581,             6.5943e-05,             6.5943e-05,             6.5943e-05
                     75,                0.65301,                0.79456,                 1.0871,                0.87335,                0.40305,                0.44612,                 0.2476,                 1.7935,                 2.2657,                 1.5593,             6.6556e-05,             6.6556e-05,             6.6556e-05
                     76,                0.76136,                0.91831,                 1.1675,                0.87335,                0.40305,                0.44612,                 0.2476,                 1.7935,                 2.2657,                 1.5593,             6.7161e-05,             6.7161e-05,             6.7161e-05
                     77,                0.79194,                 0.9681,                 1.1848,                0.87335,                0.40305,                0.44612,                 0.2476,                 1.7935,                 2.2657,                 1.5593,             6.7758e-05,             6.7758e-05,             6.7758e-05
                     78,                0.69756,                0.72855,                 1.1308,                0.87318,                0.40014,                0.44644,                0.24893,                 1.8016,                 2.2663,                 1.5607,             6.8347e-05,             6.8347e-05,             6.8347e-05
                     79,                0.88391,                0.92421,                  1.304,                0.87318,                0.40014,                0.44644,                0.24893,                 1.8016,                 2.2663,                 1.5607,             6.8928e-05,             6.8928e-05,             6.8928e-05
                     80,                0.86709,                0.80966,                 1.3446,                0.87318,                0.40014,                0.44644,                0.24893,                 1.8016,                 2.2663,                 1.5607,             6.9502e-05,             6.9502e-05,             6.9502e-05
                     81,                0.79374,                 1.1963,                 1.1791,                0.87348,                0.38306,                0.44834,                0.25038,                 1.8283,                  2.324,                 1.5851,             7.0067e-05,             7.0067e-05,             7.0067e-05
                     82,                0.74636,                0.86073,                 1.1729,                0.87348,                0.38306,                0.44834,                0.25038,                 1.8283,                  2.324,                 1.5851,             7.0625e-05,             7.0625e-05,             7.0625e-05
                     83,                0.89679,                 1.1555,                 1.3152,                0.87348,                0.38306,                0.44834,                0.25038,                 1.8283,                  2.324,                 1.5851,             7.1175e-05,             7.1175e-05,             7.1175e-05
                     84,                0.89541,                 1.0972,                 1.3343,                0.93523,                0.35386,                0.44327,                0.25631,                 1.8532,                 2.2985,                 1.5911,             7.1717e-05,             7.1717e-05,             7.1717e-05
                     85,                0.78537,                 0.9497,                 1.1953,                0.93523,                0.35386,                0.44327,                0.25631,                 1.8532,                 2.2985,                 1.5911,             7.2251e-05,             7.2251e-05,             7.2251e-05
                     86,                0.91842,                 1.0169,                 1.3318,                0.93523,                0.35386,                0.44327,                0.25631,                 1.8532,                 2.2985,                 1.5911,             7.2777e-05,             7.2777e-05,             7.2777e-05
                     87,                0.92041,                0.93444,                  1.232,                0.93523,                0.35386,                0.44327,                0.25631,                 1.8532,                 2.2985,                 1.5911,             7.3296e-05,             7.3296e-05,             7.3296e-05
                     88,                0.78424,                0.83592,                 1.2223,                0.94037,                0.35401,                0.44476,                0.25442,                  1.859,                 2.3103,                 1.5978,             7.3807e-05,             7.3807e-05,             7.3807e-05
